SUBDISTRICT,DISTRICT,Predicted Underweight (%)
Marwar Junction,PALI,37.88593639848658
Nainwa,BUNDI,40.2742375850677
Ramsar,BARMER,43.24164920276206
Bhim,RAJSAMAND,39.30176960097413
Pipalda,KOTA,39.285343455838685
Indragarh,BUNDI,38.641254517479176
Gudha Malani,BARMER,42.365298094452825
Ahore,JALOR,38.56622394101288
Jahazpur,BHILWARA,39.52739993933913
Banera,BHILWARA,36.811952390631646
Hindoli,BUNDI,42.48601850448989
Mandal,BHILWARA,41.30192272314404
Deogarh,RAJSAMAND,40.220013924620325
Chohtan,BARMER,43.40864334233919
Kotri,BHILWARA,39.827803169426126
Keshoraipatan,BUNDI,38.546488717907906
Sumerpur,PALI,39.18338956480671
Bundi,BUNDI,38.92078521106969
Desuri,PALI,37.53344998890608
Digod,KOTA,35.778278679446785
Jalor,JALOR,38.60263909245355
Bhilwara,BHILWARA,37.313447174537565
Mandalgarh,BHILWARA,39.19962359205728
Raipur,BHILWARA,39.20964438846142
Sayla,JALOR,36.531181280550165
Shahbad,BARAN,37.69892224110157
Mangrol,BARAN,41.26130431317362
Amet,RAJSAMAND,40.63357561826701
Bagora,JALOR,35.857212058333424
Kishanganj,BARAN,39.01004583336582
Kumbhalgarh,RAJSAMAND,44.09634901894078
Sahara,BHILWARA,36.26011763627707
Bali,PALI,40.611400299294004
Beejoliya,BHILWARA,35.986490931474755
Antah,BARAN,34.92195679382841
Ladpura,KOTA,37.18422518326681
Bhinmal,JALOR,36.748281181898186
Sheoganj,SIROHI,38.073835894465404
Baran,BARAN,36.16886325771842
Rajsamand,RAJSAMAND,38.61904613022661
Gangrar,CHITTAURGARH,35.05364916800109
Rashmi,CHITTAURGARH,37.056741850861
Begun,CHITTAURGARH,34.29175894560772
Railmagra,RAJSAMAND,36.912643548942334
Sangod,KOTA,37.11746549930698
Sanchore,JALOR,40.44844375971032
Gogunda,UDAIPUR,43.547383801202535
Chittaurgarh,CHITTAURGARH,37.29382419380644
Sirohi,SIROHI,38.267459110780145
Nathdwara,RAJSAMAND,39.2329343189211
Atru,BARAN,38.128321018160804
Rawatbhata,CHITTAURGARH,39.482799753910115
Kapasan,CHITTAURGARH,37.79726397423512
Raniwara,JALOR,40.685834035728874
Pindwara,SIROHI,44.31625690530324
Mavli,UDAIPUR,39.18822058948913
Girwa,UDAIPUR,41.74571354017562
Chhabra,BARAN,37.32984571778857
Ramganj Mandi,KOTA,36.58033719834155
Khanpur,JHALAWAR,36.00840355981794
Kotra,UDAIPUR,47.93855445642093
Bhadesar,CHITTAURGARH,37.089559572552275
Jhalrapatan,JHALAWAR,39.416574624127996
Chhipabarod,BARAN,40.87380124764004
Reodar,SIROHI,42.64086950156418
Nimbahera,CHITTAURGARH,35.27741745575183
Vallabhnagar,UDAIPUR,41.09816850650874
Dungla,CHITTAURGARH,38.89252760652763
Abu Road,SIROHI,46.315680227395276
Bari Sadri,CHITTAURGARH,38.136781213513295
Jhadol,UDAIPUR,45.26257009428233
Pachpahar,JHALAWAR,39.87529017823803
Aklera,JHALAWAR,41.19035733096735
Chhoti Sadri,PRATAPGARH,40.198996150365396
Pirawa,JHALAWAR,38.731940337098514
Sarada,UDAIPUR,43.595740137429026
Manohar Thana,JHALAWAR,39.916416182536445
Lasadiya,UDAIPUR,45.6817618276499
Salumbar,UDAIPUR,44.5425480847125
Dhariawad,PRATAPGARH,49.937703979334614
Pratapgarh,PRATAPGARH,41.04833868161541
Rishabdeo,UDAIPUR,44.10082532481829
Kherwara,UDAIPUR,43.02349484172357
Gangdhar,JHALAWAR,42.272270050915765
Aspur,DUNGARPUR,41.09495182658405
Peepalkhoont,PRATAPGARH,40.50584298415772
Dungarpur,DUNGARPUR,43.542317438200385
Arnod,PRATAPGARH,40.788910637299175
Ghatol,BANSWARA,42.7361790365294
Sagwara,DUNGARPUR,41.82948757553357
Garhi,BANSWARA,39.476469406307444
Simalwara,DUNGARPUR,44.46857201064968
Banswara,BANSWARA,45.595991920565886
Bagidora,BANSWARA,45.955982198503484
Kushalgarh,BANSWARA,46.951014086604076
